,COUNTRY,HAPPINESS_SCORE,LOG_OF_GDP_PER_PERSON,GDP_PER_PERSON,HEALTHY_LIFE_EXPECTANCY,SOCIAL_SUPPORT,FREEDOM,GENEROSITY,PERCEPTIONS_OF_CORRUPTION,PREDICTED_HAPPINESS
128,Trinidad & Tobago,6.192,10.32386494,30450.7207,61.73831177,0.91529417,0.857907116,0.371881813,0.912230611,HAPPY
129,Tunisia,4.592,9.286602974,10792.45996,65.72196198,0.675955236,0.601712465,0.085977875,0.830830932,UNHAPPY
130,Turkey,5.483,10.08501816,23981.02539,65.5740509,0.869648397,0.646940053,0.251631469,0.745847404,NORMAL
131,Uganda,4.161,7.430361271,1686.416748,51.45369339,0.751009703,0.752453089,0.284946442,0.834780514,UNHAPPY
132,Ukraine,4.103,8.943782806,7660.119141,63.17077637,0.88285476,0.510923445,0.290620297,0.925533473,UNHAPPY
133,United Kingdom,6.814,10.57631779,39195.52344,71.79316711,0.942500651,0.822235167,0.674260974,0.444424927,HAPPY
134,United States,6.886,10.8869915,53476.17578,69.7709198,0.906464398,0.834553838,0.594430208,0.700341403,HAPPY
135,Uruguay,6.379,9.906208992,20054.50195,68.24829865,0.901662707,0.899777234,0.271785647,0.659914434,HAPPY
136,Uzbekistan,6.096,8.705645561,6036.897949,63.03148651,0.952999771,0.983573198,0.488877624,0.469021022,HAPPY
137,Venezuela,4.806,9.594682693,14686.48145,64.67490387,0.9060027,0.486134559,0.136016473,0.851343453,UNHAPPY
138,Vietnam,5.103,8.692094803,5955.64502,66.07466125,0.863339365,0.894213021,0.25137803,0.79990226,NORMAL
139,Yemen,3.355,7.814972401,2477.418457,54.79708099,0.743860483,0.579306424,0.033717103,0.828243613,UNHAPPY
140,Zambia,4.377,8.203147888,3652.429688,53.26426315,0.733560264,0.796939313,0.283819616,0.795381129,UNHAPPY
141,Zimbabwe,3.692,7.544406891,1890.141357,51.796772,0.752728462,0.71566838,0.094643012,0.764015973,UNHAPPY
